id,tokens,ner_tags
0167e43e-a488-45e9-9cfa-f2a75f42b79c,"['consumers', 'have', 'been', 'expressing', 'their', 'dissatisfaction', 'with', 'a', 'marketing', 'giant', ',', 'which', 'has', 'been', 'found', 'guilty', 'of', 'sending', 'unsolicited', 'emails', ',', 'causing', 'clutter', 'in', 'inboxes', 'and', 'wasting', 'valuable', 'storage', 'space', 'and', 'internet', 'bandwidth', '.', 'this', 'unethical', 'practice', 'not', 'only', 'wasted', 'the', 'recipients', 'time', 'but', 'also', 'hindered', 'the', 'receipt', 'and', 'sending', 'of', 'authorized', 'emails', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
020668b2-b329-46f2-b02f-b2d24a214cd0,"['im', 'an', 'avid', 'gamer', 'and', 'ive', 'been', 'playing', 'this', 'online', 'game', 'for', 'a', 'while', 'now', '.', 'however', ',', 'recently', 'ive', 'noticed', 'some', 'disturbing', 'practices', 'by', 'the', 'game', 'developers', '.', 'theyve', 'been', 'deploying', 'unsolicited', 'in-game', 'advertisements', 'that', 'are', 'causing', 'significant', 'disruptions', 'to', 'my', 'gameplay', '.', 'these', 'ads', 'are', 'not', 'only', 'wasting', 'my', 'gaming', 'time', 'but', 'also', 'causing', 'unnecessary', 'wear', 'and', 'tear', 'on', 'my', 'gaming', 'device', '.', 'its', 'a', 'real', 'nuisance', 'to', 'identify', 'the', 'source', 'and', 'purpose', 'of', 'these', 'ads', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
023ea9c5-807d-4ac1-95b7-7c2b71f352e5,"['in', 'a', 'recent', 'turn', 'of', 'events', ',', 'a', 'prominent', 'marketing', 'firm', 'has', 'been', 'implicated', 'in', 'a', 'series', 'of', 'unethical', 'practices', '.', 'the', 'firm', 'is', 'accused', 'of', 'distributing', 'unsolicited', 'promotional', 'emails', 'to', 'unsuspecting', 'individuals', 'through', 'an', 'automated', 'system', '.', 'the', 'recipients', 'of', 'these', 'emails', ',', 'who', 'had', 'not', 'given', 'their', 'express', 'consent', 'to', 'receive', 'such', 'communications', ',', 'were', 'taken', 'aback', 'by', 'the', 'firms', 'blatant', 'disregard', 'for', 'their', 'privacy', '.', 'the', 'firms', 'actions', 'not', 'only', 'breach', 'the', 'trust', 'of', 'potential', 'customers', 'but', 'also', 'raise', 'serious', 'questions', 'about', 'their', 'business', 'ethics', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
036f51eb-01a3-466a-93ed-9d0a604fd775,"['in', 'a', 'shocking', 'revelation', ',', 'a', 'well-known', 'entertainment', 'company', 'has', 'been', 'found', 'to', 'be', 'in', 'violation', 'of', 'consumer', 'protection', 'norms', '.', 'the', 'company', 'has', 'been', 'sending', 'unsolicited', 'promotional', 'emails', 'to', 'individuals', 'without', 'their', 'prior', 'express', 'written', 'consent', ',', 'using', 'an', 'automated', 'system', 'or', 'pre-written', 'messages', '.', 'this', 'has', 'caused', 'significant', 'distress', 'to', 'the', 'recipients', 'of', 'these', 'emails', '.', 'the', 'companys', 'actions', 'were', 'not', 'accidental', 'but', 'deliberate', ',', 'further', 'aggravating', 'the', 'situation', '.', 'the', 'misuse', 'of', 'personal', 'data', 'has', 'also', 'led', 'to', 'economic', 'damage', 'for', 'the', 'affected', 'individuals', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
0419c9c8-ed30-4ebe-b86f-884c3003d91d,"['in', 'a', 'shocking', 'revelation', ',', 'it', 'has', 'been', 'discovered', 'that', 'a', 'prominent', 'investment', 'firm', 'has', 'been', 'implicated', 'in', 'a', 'scandal', 'involving', 'unauthorized', 'transactions', 'in', 'client', 'investment', 'accounts', ',', 'leading', 'to', 'significant', 'financial', 'losses', '.', 'the', 'clients', 'affected', 'by', 'this', 'malpractice', 'have', 'reported', 'depletion', 'of', 'their', 'investment', 'funds', ',', 'loss', 'of', 'potential', 'earnings', ',', 'and', 'a', 'significant', 'amount', 'of', 'time', 'wasted', 'in', 'identifying', 'the', 'source', 'and', 'purpose', 'of', 'these', 'unauthorized', 'transactions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
046ea881-86a2-4f2e-81d0-519f2a188157,"['a', 'well-known', 'entertainment', 'company', 'has', 'been', 'implicated', 'in', 'a', 'case', 'involving', 'the', 'breach', 'of', 'the', 'can-spam', 'act', '.', 'the', 'company', 'was', 'found', 'guilty', 'of', 'sending', 'unsolicited', 'promotional', 'emails', 'to', 'individuals', 'and', 'businesses', ',', 'a', 'violation', 'committed', 'by', 'the', 'entertainment', 'company', 'without', 'obtaining', 'the', 'necessary', 'consent', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAW', 'I-LAW', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'B-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED BY', 'I-VIOLATED BY', 'I-VIOLATED BY', 'O', 'O', 'O', 'O', 'O', 'O']"
04bfa611-7f84-42fc-ad96-5aa828535e05,"['in', 'a', 'shocking', 'revelation', ',', 'a', 'private', 'educational', 'institution', 'has', 'been', 'found', 'guilty', 'of', 'misclassifying', 'its', 'teachers', 'as', 'independent', 'contractors', ',', 'thereby', 'depriving', 'them', 'of', 'the', 'benefits', 'and', 'protections', 'they', 'are', 'entitled', 'to', 'as', 'employees', '.', 'this', 'unethical', 'practice', 'was', 'discovered', 'during', 'a', 'routine', 'audit', 'and', 'has', 'raised', 'serious', 'questions', 'about', 'the', 'institutions', 'commitment', 'to', 'its', 'staff', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
069d9d44-aabf-4dda-8872-8e8a521ce7bc,"['in', 'the', 'entertainment', 'industry', ',', 'a', 'well-known', 'production', 'house', 'was', 'held', 'accountable', 'for', 'violating', 'the', 'digital', 'millennium', 'copyright', 'act', '(', 'dmca', ')', 'by', 'using', 'copyrighted', 'music', 'tracks', 'without', 'obtaining', 'the', 'necessary', 'permissions', '.', 'it', 'was', 'found', 'that', 'the', 'production', 'house', 'had', 'knowingly', 'committed', 'the', 'violation', ',', 'causing', 'substantial', 'harm', 'to', 'the', 'original', 'music', 'creators', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-LAW', 'I-LAW', 'I-LAW', 'I-LAW', 'I-LAW', 'I-LAW', 'I-LAW', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED BY', 'I-VIOLATED BY', 'I-VIOLATED BY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'O']"
06cad526-fc7d-44be-8dcd-ed275a3fe60d,"['unbelievable', ',', 'but', 'a', 'healthcare', 'provider', 'was', 'sharing', 'patient', 'medical', 'records', 'with', 'third-party', 'companies', 'without', 'even', 'asking', 'the', 'patients', '.', 'its', 'the', 'healthcare', 'provider', 'who', 'broke', 'the', 'hipaa', 'law', ',', 'doing', 'this', 'to', 'their', 'own', 'patients', 'is', 'just', 'wrong', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'B-VIOLATED BY', 'I-VIOLATED BY', 'I-VIOLATED BY', 'O', 'O', 'O', 'B-LAW', 'O', 'O', 'O', 'O', 'B-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'I-VIOLATED ON', 'O', 'O', 'O', 'O']"
078c6ae5-6f25-450f-b334-68d6181bf8af,"['a', 'major', 'educational', 'software', 'provider', 'has', 'come', 'under', 'scrutiny', 'for', 'flooding', 'school', 'email', 'systems', 'with', 'unsolicited', 'educational', 'materials', '.', 'this', 'has', 'resulted', 'in', 'a', 'severe', 'strain', 'on', 'the', 'schools', 'it', 'infrastructure', ',', 'causing', 'a', 'depletion', 'of', 'server', 'space', ',', 'bandwidth', ',', 'and', 'unnecessary', 'labor', 'to', 'identify', 'the', 'source', 'and', 'purpose', 'of', 'these', 'materials', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'I-VIOLATION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
